issn_fisico,issn_virtual,issn_normalizado,texto_espanol,texto_ingles,tokens_espanol,tokens_ingles,apc_monto_original,apc_moneda_original,apc_monto_usd,tasa_usd_utilizada,apc_monto_ppp_usd,apc_tipo,apc_real_disponible
2782-4799,2027-1557,2027-1557,medios comunicacion social periodismo comunicaciones ciencias sociales c,luciernaga virtual communication social networks linguistics sociology language literature philology sciences,8,11,2140.37,EUR,2311.6,1.08,6083.16,observado,True
0123-3769,2500-8684,0123-3769,otras humanidades c,,3,0,2838.0,EUR,3065.04,1.08,8065.89,observado,True
0123-3475,1909-8758,0123-3475,biotecnologia agricola alimentos ciencias agricolas b,dermatology q4 surgery medicine bioprospection biotechnology agricultural health bioinformatics technology chemical,6,11,837.19,EUR,904.17,1.08,2379.39,observado,True
0124-0781,2590-8669,0124-0781,ciencias politicas sociales b,history q4 political science relations arts humanities social sciences politics public policies democracy investigation,4,14,2443.03,EUR,2638.47,1.08,6943.34,observado,True
0120-7555,2346-206X,0120-7555,negocios management economia ciencias sociales c,,6,0,1996.61,EUR,2156.34,1.08,5674.58,observado,True
1657-9089,2665-511X,1657-9089,educacion general incluye capacitacion pedagogia ciencias sociales c infancias imagenes childhood language learning teaching child rearing human development education,,19,0,246.1,EUR,265.79,1.08,699.45,observado,True
0121-117X,2619-6573,0121-117X,economia negocios ciencias sociales c ensayos economy economic history macroeconomy microeconomics econometrics,social sciences economic history conditions theory demography economics as science,12,10,204.92,EUR,221.31,1.08,582.39,observado,True
0123-9392,,0123-9392,otras ciencias medicas salud b,,5,0,2675.07,EUR,2889.08,1.08,7602.84,observado,True
1900-9607,0123-2576,1900-9607,ciencias veterinarias agricolas c,education q4 medical laboratory technology medicine miscellaneous health professions social sciences ces medicina veterinaria zootecnia experimental clinical surgery oncology public general,4,21,1448.6,EUR,1564.49,1.08,4117.08,observado,True
2027-2391,2344-7125,2027-2391,ciencias sociales interdisciplinaria otras c kavilando,social conflict territorial disputes exclusion suppression sciences general,6,8,243.59,EUR,263.08,1.08,692.32,observado,True
0122-8900,2463-0470,0122-8900,economia negocios ciencias sociales b panorama economico administration economy business,social sciences industries land use labor management industrial economic theory demography,10,11,1828.49,EUR,1974.77,1.08,5196.76,observado,True
0122-2066,2145-8499,0122-2066,historia arqueologia humanidades c anuario regional fronteras history didactics general europe america latin spanish,,14,0,1878.22,EUR,2028.48,1.08,5338.11,observado,True
0120-3576,,0120-3576,economia negocios ciencias sociales b,management economics education accounting social sciences economic theory demography as science,5,11,1828.49,EUR,1974.77,1.08,5196.76,observado,True
2027-7822,1657-0448,2027-7822,medicina clinica ciencias medicas salud c odontologica colombiana medicine dentistry,dermatology q4 surgery medicine oral health public collective dentistry epidemiology,10,10,575.0,EUR,621.0,1.08,1634.21,observado,True
2145-9932,1852-9429,2145-9932,salud publica ciencias medicas c ces,health professions miscellaneous q3 occupational therapy physical sports rehabilitation q4 public environmental speech hearing medicine epidemiology community care general aspects,6,20,2390.0,EUR,2581.2,1.08,6792.63,observado,True
1657-8651,2346-2159,1657-8651,ciencias politicas sociales b opera observatorio ejecucion resultados administracion publica,public policy elections nation territory political science institutions administration general,10,10,2390.0,EUR,2581.2,1.08,6792.63,observado,True
1657-4214,,1657-4214,economia negocios ciencias sociales a2,management economics education accounting social sciences economic theory demography as science,5,11,1828.49,EUR,1974.77,1.08,5196.76,observado,True
0121-0041,2256-5655,0121-0041,ciencias salud medicas c,neurology clinical q4 medicine,4,4,1448.6,EUR,1564.49,1.08,4117.08,observado,True
1692-8415,,1692-8415,ciencias salud medicas c ciencia tecnologia para visual ocular medicine ophthalmology,vision sciences amblyopia ortoptics contact lenses ocular pharmacology optometry,11,9,3170.0,EUR,3423.6,1.08,9009.47,observado,True
0123-8884,0123-8884,0123-8884,psicologia ciencias sociales c affectio societatis psychoanalysis freud clinical investigation philosophy psychology religion,,13,0,2838.0,EUR,3065.04,1.08,8065.89,observado,True
1794-6638,2619-4066,1794-6638,derecho ciencias sociales c ratio juris,law history legal anthropology philosophy psicology general comparative uniform jurisprudence theory,6,11,1410.32,EUR,1523.15,1.08,4008.29,observado,True
1794-6298,0120-1867,1794-6298,economia negocios ciencias sociales c,law q3 political science relations q4 social sciences economics trade,5,10,3028.04,EUR,3270.28,1.08,8606.0,observado,True
1692-1399,2453-675X,1692-1399,ingenieria produccion otras ingenierias tecnologias tecnologia c,tecnologia scientific about technologies technology technics industry education,7,8,315.0,EUR,340.2,1.08,895.26,declarado,True
2011-3501,,2011-3501,otras ciencias sociales c,dialectica libertadora dor pain anesthesiology cannabinoids management rheumatology medicine,4,9,2838.0,EUR,3065.04,1.08,8065.89,observado,True
1657-9553,,1657-9553,economia negocios ciencias sociales c facultad contables economicas administrativas faccea,health professions miscellaneous q3 occupational therapy physical sports rehabilitation q4 public environmental speech hearing medicine management economics education accounting social sciences economic theory demography as science,10,26,1828.49,EUR,1974.77,1.08,5196.76,observado,True
1794-8347,1679-0375,1794-8347,negocios management economia ciencias sociales b estrategicas,health professions miscellaneous q3 occupational therapy physical sports rehabilitation q4 public environmental speech hearing medicine exact sciences engineering technology general science,7,21,3385.0,EUR,3655.8,1.08,9620.53,observado,True
1909-9851,2521-9715,1909-9851,otras ingenierias tecnologias ingenieria tecnologia c cientifica facultad ciencias veterinarias universidad zulia,veterinary medicine animal science agricultural economics public health food technology,12,10,895.15,EUR,966.76,1.08,2544.11,observado,True
2011-8643,1947-5691,2011-8643,educacion general incluye capacitacion pedagogia ciencias sociales c,magistro geography remote sensing data science geographic information systems anthropology recreation mathematical cartography,8,13,2727.28,EUR,2945.46,1.08,7751.21,observado,True
1692-5238,1729-3804,1692-5238,ingenieria electrica electronica ingenierias informatica tecnologia c s t sistemas telematica tic telematics internet technologies networks,technology electrical engineering electronics nuclear telecommunication,16,6,1314.0,EUR,1419.12,1.08,3734.53,observado,True
2145-6445,0120-1867,2145-6445,otras ciencias sociales b,law q3 political science relations q4 social sciences family gender diversity public policies marriage woman,4,15,1828.24,EUR,1974.5,1.08,5196.05,observado,True
2011-513X,1809-6891,2011-513X,ciencias veterinarias agricolas c,history q4 political science relations arts humanities social sciences ciencia animal behaviour zootechnology health production veterinary medicine agriculture culture,4,19,2244.95,EUR,2424.55,1.08,6380.39,observado,True
2215-7840,2389-7252,2215-7840,ciencias salud medicas c biomedicas medicine general,health professions miscellaneous q3 occupational therapy physical sports rehabilitation q4 public environmental speech hearing medicine biotechnology biomedical sciences basic medical clinical,7,21,1120.14,EUR,1209.75,1.08,3183.55,observado,True
2027-3401,2448-2390,2027-3401,educacion general incluye capacitacion pedagogia ciencias sociales c,,8,0,2838.0,EUR,3065.04,1.08,8065.89,observado,True
1692-7427,2215-7727,1692-7427,ciencias cuidado salud servicios administracion hospitales financiamiento medicas c,agronomy crop science q4 economics econometrics geography planning development agricultural biological sciences finance social actividad fisica desarrollo humano sports physical education physiotherapy psychology athletic performance physiological processes anthropology recreation leisure medicine internal special situations conditions,9,35,2618.0,EUR,2827.44,1.08,7440.63,observado,True
