issn_fisico,issn_virtual,issn_normalizado,texto_espanol,texto_ingles,tokens_espanol,tokens_ingles,apc_monto_original,apc_moneda_original,apc_monto_usd,tasa_usd_utilizada,apc_monto_ppp_usd,apc_tipo,apc_real_disponible
1692-0880,0123-2576,1692-0880,medicina clinica ciencias medicas salud c,education q4 medical laboratory technology medicine miscellaneous health professions social sciences medicina experimental clinical surgery oncology public general,6,18,1448.6,EUR,1564.49,1.08,4117.08,observado,True
0123-2304,2421-4574,0123-2304,otras humanidades c,temas reflexiones tema technology engineering materials architecture building performance construction practices technical history preservation architectural structural buildings,3,17,400.0,EUR,432.0,1.08,1136.84,declarado,True
1657-480X,2602-8492,1657-480X,ingenieria ambiental tecnologia c,technology general,4,2,,,,,,,False
0120-856X,1657-0448,0120-856X,medicina clinica ciencias medicas salud b,dermatology q4 surgery medicine,6,4,,,,,,,False
0121-3423,1697-9745,0121-3423,oceanografia hidrologia recursos agua ciencias tierra medioambientales naturales c cientifico cccp education training educational special aspects theory practice,,18,0,,,,,,,False
0123-1286,1657-0448,0123-1286,otras ciencias agricolas c,dermatology q4 surgery medicine,4,4,,,,,,,False
0122-9534,2675-6617,0122-9534,ciencias veterinarias agricolas b,,4,0,380.8,EUR,411.26,1.08,1082.26,observado,True
1657-6772,2469-1488,1657-6772,otras ciencias sociales c,health professions miscellaneous q3 occupational therapy physical sports rehabilitation q4 public environmental speech hearing medicine,4,15,,,,,,,False
1012-7410,2590-9932,1012-7410,biotecnologia agricola ciencias agricolas c,pasturas tropicales wood technology products management agriculture forestry,5,8,2784.55,EUR,3007.31,1.08,7913.97,observado,True
1657-9526,2371-3771,1657-9526,artes plasticas visuales arte humanidades c,entreartes art arts based creation community transdisciplinary fine general,6,9,,,,,,,False
1692-6323,2707-6954,1692-6323,ciencias salud medicas c institucional facultad clon,health sciences public medicine nursing environmental education,7,7,,,,,,,False
0120-0275,2709-7927,0120-0275,agricultura silvicultura pesca ciencias agricolas c centro nacional investigaciones cafe cenicafe medicine,medicine health sciences medical public,12,5,,,,,,,False
0123-1952,2786-8788,0123-1952,historia arqueologia humanidades c,utopia siglo xxi relations diplomacy foreign policy history political science general,4,11,600.0,UAH,16.2,0.027,42.63,declarado,True
0121-2532,2600-5727,0121-2532,otras ciencias sociales c,coyuntura social sciences commerce business accounting bookkeeping economic theory demography economics as science,4,13,267.75,EUR,289.17,1.08,760.97,observado,True
1657-5636,,1657-5636,otras ingenierias tecnologias ingenieria tecnologia c,,6,0,,,,,,,False
0121-5299,2588-0721,0121-5299,ingenieria ambiental tecnologia c,technology,4,1,,,,,,,False
1657-4229,2665-2730,1657-4229,otras ciencias sociales c uni pluriversidad teacher education higher general special aspects,,12,0,,,,,,,False
